,Fecha,Incremento Muertos,Muertos,Muertos/Millon,Incremento Confirmados,Confirmados,Confirmados/100.000-14 Dias
"69,06/09/2022,0,129.769,""2.832,84"",0,9.689.861,""68,70"""
"70,05/09/2022,0,129.769,""2.832,84"",0,9.689.861,""68,70"""
"71,04/09/2022,58,129.769,""2.832,84"",11.636,9.689.861,""68,70"""
"72,03/09/2022,0,129.711,""2.831,58"",0,9.678.225,""97,13"""
"73,02/09/2022,0,129.711,""2.831,58"",0,9.678.225,""97,13"""
"74,01/09/2022,0,129.711,""2.831,58"",0,9.678.225,""97,13"""
"75,31/08/2022,0,129.711,""2.831,58"",0,9.678.225,""97,13"""
"76,30/08/2022,0,129.711,""2.831,58"",0,9.678.225,""97,13"""
"77,29/08/2022,0,129.711,""2.831,58"",0,9.678.225,""97,13"""
"78,28/08/2022,65,129.711,""2.831,58"",19.834,9.678.225,""97,13"""
"79,27/08/2022,0,129.646,""2.830,16"",0,9.658.391,""121,94"""
"80,26/08/2022,0,129.646,""2.830,16"",0,9.658.391,""121,94"""
"81,25/08/2022,0,129.646,""2.830,16"",0,9.658.391,""121,94"""
"82,24/08/2022,0,129.646,""2.830,16"",0,9.658.391,""121,94"""
"83,23/08/2022,0,129.646,""2.830,16"",0,9.658.391,""121,94"""
"84,22/08/2022,0,129.646,""2.830,16"",0,9.658.391,""121,94"""
"85,21/08/2022,80,129.646,""2.830,16"",24.659,9.658.391,""121,94"""
"86,20/08/2022,0,129.566,""2.828,41"",0,9.633.732,""160,29"""
"87,19/08/2022,0,129.566,""2.828,41"",0,9.633.732,""160,29"""
"88,18/08/2022,0,129.566,""2.828,41"",0,9.633.732,""160,29"""
"89,17/08/2022,0,129.566,""2.828,41"",0,9.633.732,""160,29"""
"90,16/08/2022,0,129.566,""2.828,41"",0,9.633.732,""160,29"""
"91,15/08/2022,0,129.566,""2.828,41"",0,9.633.732,""160,29"""
"92,14/08/2022,126,129.566,""2.828,41"",31.198,9.633.732,""160,29"""
"93,13/08/2022,0,129.440,""2.825,66"",0,9.602.534,""207,32"""
"94,12/08/2022,0,129.440,""2.825,66"",0,9.602.534,""207,32"""
"95,11/08/2022,0,129.440,""2.825,66"",0,9.602.534,""207,32"""
"96,10/08/2022,0,129.440,""2.825,66"",0,9.602.534,""207,32"""
"97,09/08/2022,0,129.440,""2.825,66"",0,9.602.534,""207,32"""
"98,08/08/2022,0,129.440,""2.825,66"",0,9.602.534,""207,32"""
"99,07/08/2022,71,129.440,""2.825,66"",42.227,9.602.534,""207,32"""
